wr_id,date_requested,prob_type,date_completed,bl_id
60757,2016-02-10 00:00:00.000,OVERHDDOOR                      ,2016-03-10 00:00:00.000,B04003  
60767,2016-02-10 00:00:00.000,OVERHDDOOR                      ,2016-02-16 00:00:00.000,B04006  
60853,2016-02-11 00:00:00.000,OTHER                           ,,B04005  
60954,2016-02-16 00:00:00.000,DOOR                            ,2016-02-18 00:00:00.000,B00050  
60999,2016-02-16 00:00:00.000,FENCE_GATE                      ,,B00031  
61000,2016-02-16 00:00:00.000,FENCE_GATE                      ,2016-08-22 00:00:00.000,B00031  
61061,2016-02-17 00:00:00.000,HVAC                            ,2016-08-29 00:00:00.000,B00140  
61063,2016-02-17 00:00:00.000,OVERHDDOOR                      ,2016-02-22 00:00:00.000,B04027  
61065,2016-02-17 00:00:00.000,OVERHDDOOR                      ,2016-03-19 00:00:00.000,B04036  
61119,2016-02-18 00:00:00.000,OVERHDDOOR                      ,2016-02-22 00:00:00.000,B04024  
61120,2016-02-18 00:00:00.000,OVERHDDOOR                      ,2016-02-22 00:00:00.000,B04025  
61136,2016-02-19 00:00:00.000,DOOR                            ,2016-09-25 00:00:00.000,B00121  
61213,2016-02-23 00:00:00.000,DOOR                            ,2016-03-06 00:00:00.000,B00025  
61331,2016-02-25 00:00:00.000,LOCK                            ,2016-08-29 00:00:00.000,B00182  
61332,2016-02-25 00:00:00.000,OTHER                           ,,B00182  
61398,2016-02-25 00:00:00.000,FENCE_GATE                      ,2016-09-25 00:00:00.000,B04004  
61400,2016-02-25 00:00:00.000,OVERHDDOOR                      ,2016-03-21 00:00:00.000,B04011  
61401,2016-02-25 00:00:00.000,OTHER                           ,2016-05-04 00:00:00.000,B04034  
61405,2016-02-25 00:00:00.000,FENCE_GATE                      ,2016-09-25 00:00:00.000,B04036  
61409,2016-02-25 00:00:00.000,OVERHDDOOR                      ,2016-03-06 00:00:00.000,B04014  
61481,2016-02-26 00:00:00.000,LOCK                            ,2016-09-25 00:00:00.000,B00052  
61482,2016-02-26 00:00:00.000,OTHER                           ,2016-10-11 00:00:00.000,B00052  
62570,2016-03-01 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2016-11-03 00:00:00.000,B09864  
62620,2016-03-01 00:00:00.000,OVERHDDOOR                      ,2016-03-21 00:00:00.000,B00020  
62648,2016-03-02 00:00:00.000,ROOF                            ,2016-07-28 00:00:00.000,B00056  
62667,2016-03-02 00:00:00.000,FLOOR                           ,2016-08-24 00:00:00.000,B00021  
62669,2016-03-02 00:00:00.000,FLOOR                           ,2016-08-24 00:00:00.000,B00021  
62709,2016-03-02 00:00:00.000,OVERHDDOOR                      ,2016-03-06 00:00:00.000,B04024  
62711,2016-03-02 00:00:00.000,OVERHDDOOR                      ,2016-04-06 00:00:00.000,B04018  
62712,2016-03-02 00:00:00.000,OVERHDDOOR                      ,2016-03-21 00:00:00.000,B04043  
62723,2016-03-02 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-10-11 00:00:00.000,NULL
62737,2016-03-03 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2016-10-11 00:00:00.000,B00091  
62739,2016-03-03 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2016-11-03 00:00:00.000,B00005  
62740,2016-03-03 00:00:00.000,ELEC/SECURITY                   ,2016-11-03 00:00:00.000,B00057  
62757,2016-03-03 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-11-03 00:00:00.000,B00020  
62781,2016-03-03 00:00:00.000,OVERHDDOOR                      ,2016-03-18 00:00:00.000,B06176  
62795,2016-03-04 00:00:00.000,WINDOW                          ,2016-06-14 00:00:00.000,B06059  
62859,2016-03-04 00:00:00.000,OTHER                           ,2016-11-03 00:00:00.000,B00052  
62876,2016-03-05 00:00:00.000,ELEC/SECURITY                   ,2016-11-03 00:00:00.000,NULL
62883,2016-03-07 00:00:00.000,OTHER                           ,2016-11-17 00:00:00.000,B00052  
62885,2016-03-07 00:00:00.000,FENCE_GATE                      ,,B00182  
62903,2016-03-07 00:00:00.000,DOOR                            ,2016-07-15 00:00:00.000,B06109  
62926,2016-03-07 00:00:00.000,OTHER                           ,2016-11-17 00:00:00.000,B00035  
62928,2016-03-07 00:00:00.000,SERV/CUSTODIAL                  ,,B98664  
62930,2016-03-07 00:00:00.000,OVERHDDOOR                      ,2016-03-18 00:00:00.000,B04024  
62944,2016-03-08 00:00:00.000,OVERHDDOOR                      ,2016-03-18 00:00:00.000,B08646  
62948,2016-03-08 00:00:00.000,FENCE_GATE                      ,2016-11-14 00:00:00.000,B00103  
63051,2016-03-08 00:00:00.000,DOOR                            ,2016-03-21 00:00:00.000,B00030  
63060,2016-03-08 00:00:00.000,OTHER                           ,2016-08-09 00:00:00.000,B00051  
63061,2016-03-08 00:00:00.000,WINDOW                          ,2016-07-15 00:00:00.000,P06238  
63063,2016-03-08 00:00:00.000,FLOOR                           ,2016-05-28 00:00:00.000,P06238  
63065,2016-03-08 00:00:00.000,OVERHDDOOR                      ,2016-05-17 00:00:00.000,B04035  
63068,2016-03-08 00:00:00.000,FLOOR                           ,2016-05-04 00:00:00.000,B00029  
63081,2016-03-09 00:00:00.000,_COMPLAINT                      ,,B00005  
63088,2016-03-09 00:00:00.000,DOOR                            ,2016-11-17 00:00:00.000,B00058  
63092,2016-03-09 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-11-17 00:00:00.000,B00035  
63094,2016-03-09 00:00:00.000,WINDOW                          ,2016-04-21 00:00:00.000,B00062  
63096,2016-03-09 00:00:00.000,ELEVATOR                        ,2016-12-01 00:00:00.000,B06073  
63101,2016-03-09 00:00:00.000,WINDOW                          ,2016-04-21 00:00:00.000,B00058  
63169,2016-03-10 00:00:00.000,ELEVATOR                        ,2017-01-15 00:00:00.000,B06073  
63171,2016-03-10 00:00:00.000,ELEVATOR                        ,2017-01-22 00:00:00.000,B06067  
63173,2016-03-10 00:00:00.000,ELEVATOR                        ,2016-12-31 00:00:00.000,B06078  
63174,2016-03-10 00:00:00.000,ELEVATOR                        ,2017-01-22 00:00:00.000,B07021  
63323,2016-03-14 00:00:00.000,OVERHDDOOR                      ,2016-04-06 00:00:00.000,B04003  
63324,2016-03-14 00:00:00.000,OVERHDDOOR                      ,2016-04-06 00:00:00.000,B04007  
63325,2016-03-14 00:00:00.000,OVERHDDOOR                      ,2016-04-06 00:00:00.000,B04005  
63378,2016-03-15 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-12-18 00:00:00.000,B06065  
63380,2016-03-15 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2017-02-14 00:00:00.000,B06073  
63383,2016-03-15 00:00:00.000,OTHER                           ,2016-08-30 00:00:00.000,C00088  
63408,2016-03-16 00:00:00.000,OTHER                           ,2016-11-04 00:00:00.000,B00120  
63445,2016-03-16 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2016-12-31 00:00:00.000,B00057  
63446,2016-03-16 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2016-12-18 00:00:00.000,B00057  
63453,2016-03-16 00:00:00.000,SERV/CUSTODIAL                  ,,B00101  
63536,2016-03-18 00:00:00.000,ELEC/OTHER                      ,2016-04-04 00:00:00.000,B00057  
63574,2016-03-21 00:00:00.000,ELEC/SECURITY                   ,2016-11-14 00:00:00.000,B00124  
63602,2016-03-21 00:00:00.000,WINDOW                          ,2016-07-15 00:00:00.000,B00052  
63809,2016-03-23 00:00:00.000,WINDOW                          ,2016-06-29 00:00:00.000,B00027  
63810,2016-03-23 00:00:00.000,WINDOW                          ,2016-12-16 00:00:00.000,B00030  
63811,2016-03-23 00:00:00.000,WINDOW                          ,2016-10-06 00:00:00.000,B00029  
63873,2016-03-25 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2016-09-19 00:00:00.000,B00031  
63878,2016-03-25 00:00:00.000,ELEC/OTHER                      ,,B06002  
63882,2016-03-28 00:00:00.000,ELEC/SECURITY                   ,2016-12-18 00:00:00.000,B00181  
63896,2016-03-28 00:00:00.000,ELEC/EMERLGHT                   ,2016-03-28 00:00:00.000,B00038  
63898,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63900,2016-03-28 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-03-28 00:00:00.000,B00038  
63902,2016-03-28 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-03-28 00:00:00.000,B00038  
63903,2016-03-28 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-03-28 00:00:00.000,B00038  
63904,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63905,2016-03-28 00:00:00.000,CARPENTRY                       ,2016-03-28 00:00:00.000,B00038  
63906,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63908,2016-03-28 00:00:00.000,SERV/CUSTODIAL                  ,2016-03-28 00:00:00.000,B00038  
63909,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63910,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63911,2016-03-28 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-03-28 00:00:00.000,B00038  
63912,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63913,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63915,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63918,2016-03-28 00:00:00.000,SERV/CUSTODIAL                  ,2016-03-28 00:00:00.000,B00038  
63919,2016-03-28 00:00:00.000,BUILDING INTERIOR INSPECTION    ,2016-03-28 00:00:00.000,B00038  
63921,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63922,2016-03-28 00:00:00.000,SERV/CUSTODIAL                  ,2016-03-28 00:00:00.000,B00038  
63923,2016-03-28 00:00:00.000,LOCK                            ,2016-03-28 00:00:00.000,B00038  
63925,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63926,2016-03-28 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-03-28 00:00:00.000,B00038  
63928,2016-03-28 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-03-28 00:00:00.000,B00038  
63929,2016-03-28 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-03-28 00:00:00.000,B00038  
63930,2016-03-28 00:00:00.000,DOOR                            ,2016-03-28 00:00:00.000,B00038  
63937,2016-03-28 00:00:00.000,ELEVATOR                        ,2016-03-28 00:00:00.000,B00038  
63938,2016-03-28 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-03-28 00:00:00.000,B00038  
63940,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63941,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63943,2016-03-28 14:43:52.897,NULL,,NULL
63944,2016-03-28 14:43:57.140,PLUMB/UNCLOG                    ,2016-04-06 00:00:00.000,B09864  
63945,2016-03-28 00:00:00.000,ELEC/LIGHT                      ,2016-03-28 00:00:00.000,B00038  
63946,2016-03-28 00:00:00.000,CARPENTRY                       ,2016-03-28 00:00:00.000,B00038  
63948,2016-03-28 00:00:00.000,FLOOR                           ,2016-03-28 00:00:00.000,B00038  
63949,2016-03-28 00:00:00.000,ELEC/GENERAL                    ,2016-03-28 00:00:00.000,B00038  
63950,2016-03-28 00:00:00.000,DOOR                            ,2016-03-28 00:00:00.000,B00038  
63952,2016-03-28 00:00:00.000,CEILTILE                        ,2016-03-28 00:00:00.000,B00038  
63954,2016-03-28 00:00:00.000,OVERHDDOOR                      ,2016-04-06 00:00:00.000,B07051  
63955,2016-03-28 00:00:00.000,OVERHDDOOR                      ,2016-04-06 00:00:00.000,B06176  
63956,2016-03-28 00:00:00.000,OVERHDDOOR                      ,2016-04-06 00:00:00.000,B04003  
63961,2016-03-28 00:00:00.000,OVERHDDOOR                      ,2016-10-11 00:00:00.000,B00057  
64013,2016-03-29 00:00:00.000,ELEC/LIGHT                      ,,B06002  
64017,2016-03-29 00:00:00.000,FENCE_GATE                      ,2016-11-16 00:00:00.000,B08587  
64054,2016-03-30 00:00:00.000,ROOF                            ,2017-04-10 00:00:00.000,B08450  
64143,2016-03-31 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-12-18 00:00:00.000,B07021  
64174,2016-03-31 00:00:00.000,ROOF                            ,,B06280  
64176,2016-03-31 00:00:00.000,PAINTING                        ,,B06280  
64178,2016-03-31 00:00:00.000,CARPENTRY                       ,,B06280  
64219,2016-04-01 00:00:00.000,CARPENTRY                       ,2017-04-09 00:00:00.000,B00121  
64251,2016-04-01 00:00:00.000,OVERHDDOOR                      ,2016-04-06 00:00:00.000,B04029  
64317,2016-04-04 00:00:00.000,WINDOW                          ,2016-08-24 00:00:00.000,B00057  
64346,2016-04-05 00:00:00.000,DOOR                            ,,B00057  
64391,2016-04-05 00:00:00.000,OVERHDDOOR                      ,2016-04-19 00:00:00.000,B04021  
64392,2016-04-05 00:00:00.000,OVERHDDOOR                      ,2016-04-25 00:00:00.000,B06176  
64395,2016-04-05 00:00:00.000,DOOR                            ,2016-05-04 00:00:00.000,B08535  
64447,2016-04-06 00:00:00.000,OVERHDDOOR                      ,2016-07-19 00:00:00.000,B07936  
64472,2016-04-06 00:00:00.000,ELEC/SECURITY                   ,2016-11-29 00:00:00.000,C06112  
64495,2016-04-06 00:00:00.000,OVERHDDOOR                      ,2016-04-19 00:00:00.000,B04005  
64500,2016-04-06 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-11-14 00:00:00.000,B98664  
64501,2016-04-06 00:00:00.000,WINDOW                          ,2016-08-24 00:00:00.000,B00057  
64510,2016-04-07 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2017-02-09 00:00:00.000,B00057  
64513,2016-04-07 00:00:00.000,OTHER                           ,,B00181  
64554,2016-04-07 00:00:00.000,OVERHDDOOR                      ,2016-05-06 00:00:00.000,B04004  
64555,2016-04-07 00:00:00.000,OVERHDDOOR                      ,2016-05-04 00:00:00.000,B04016  
64589,2016-04-08 00:00:00.000,SECURITY SYSTEMS-CAMERA         ,2016-12-18 00:00:00.000,B00057  
64599,2016-04-08 00:00:00.000,DOOR                            ,2016-07-15 00:00:00.000,B00058  
64623,2016-04-08 00:00:00.000,OUTLETS                         ,,B00182  
64633,2016-04-11 00:00:00.000,ELEC/SECURITY                   ,,B00051  
64650,2016-04-11 00:00:00.000,OTHER                           ,,B02300  
64664,2016-04-11 00:00:00.000,OVERHDDOOR                      ,2016-05-04 00:00:00.000,B04021  
64665,2016-04-11 00:00:00.000,OVERHDDOOR                      ,2016-05-04 00:00:00.000,B04011  
64668,2016-04-12 00:00:00.000,OVERHDDOOR                      ,2016-05-04 00:00:00.000,B00005  
64669,2016-04-12 00:00:00.000,SERV/SECURITY                   ,2016-12-18 00:00:00.000,B00005  
64708,2016-04-12 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-12-18 00:00:00.000,B00056  
64778,2016-04-13 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-12-18 00:00:00.000,B04022  
64780,2016-04-13 00:00:00.000,OVERHDDOOR                      ,2016-05-04 00:00:00.000,B04011  
64857,2016-04-14 00:00:00.000,BUILDING INTERIOR INSPECTION    ,2016-04-14 00:00:00.000,B00038  
64858,2016-04-14 00:00:00.000,LOCK                            ,2016-04-14 00:00:00.000,B00038  
64859,2016-04-14 00:00:00.000,LOCK                            ,2016-04-14 00:00:00.000,B00038  
64862,2016-04-14 00:00:00.000,LOCK                            ,2016-04-14 00:00:00.000,B00038  
64866,2016-04-14 00:00:00.000,LOCK                            ,2016-04-14 00:00:00.000,B00038  
64867,2016-04-14 00:00:00.000,ELEC/LIGHT                      ,2016-04-14 00:00:00.000,B00038  
64868,2016-04-14 00:00:00.000,SNOW_REMOVAL                    ,2016-04-14 00:00:00.000,B00038  
64869,2016-04-14 00:00:00.000,WINDOW                          ,2016-04-14 00:00:00.000,B00038  
64870,2016-04-14 00:00:00.000,DOOR                            ,2016-04-14 00:00:00.000,B00038  
64871,2016-04-14 00:00:00.000,ELEC/LIGHT                      ,2016-04-14 00:00:00.000,B00038  
64872,2016-04-14 00:00:00.000,SNOW_REMOVAL                    ,2016-04-14 00:00:00.000,B00038  
64874,2016-04-14 00:00:00.000,ELEC/LIGHT                      ,2016-04-14 00:00:00.000,B00035  
64875,2016-04-14 00:00:00.000,BUILDING INTERIOR INSPECTION    ,2016-04-14 00:00:00.000,B00030  
64876,2016-04-14 00:00:00.000,BUILDING INTERIOR INSPECTION    ,2016-04-14 00:00:00.000,B00022  
64899,2016-04-15 00:00:00.000,ELEC/LIGHT                      ,2016-04-15 00:00:00.000,B00028  
64900,2016-04-15 00:00:00.000,BUILDING INTERIOR INSPECTION    ,2016-04-15 00:00:00.000,B00029  
64901,2016-04-15 00:00:00.000,BUILDING INTERIOR INSPECTION    ,2016-04-15 00:00:00.000,B00032  
64903,2016-04-15 00:00:00.000,SERV/CUSTODIAL                  ,2016-04-15 00:00:00.000,B00038  
64904,2016-04-15 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-04-15 00:00:00.000,B00038  
64906,2016-04-15 00:00:00.000,FLOOR                           ,2016-04-15 00:00:00.000,B00038  
64908,2016-04-15 00:00:00.000,ELEC/LIGHT                      ,2016-04-15 00:00:00.000,B00038  
64909,2016-04-15 00:00:00.000,FLOOR                           ,2016-04-15 00:00:00.000,B00038  
64910,2016-04-15 00:00:00.000,LOCK                            ,2016-04-15 00:00:00.000,B00038  
64911,2016-04-15 00:00:00.000,LOCK                            ,2016-04-15 00:00:00.000,B00038  
64914,2016-04-15 00:00:00.000,CEILTILE                        ,2016-04-15 00:00:00.000,B00038  
64915,2016-04-15 00:00:00.000,LOCK                            ,2016-04-15 00:00:00.000,B00038  
64916,2016-04-15 00:00:00.000,ELEC/LIGHT                      ,2016-04-15 00:00:00.000,B00038  
64917,2016-04-15 00:00:00.000,BUILDING INTERIOR INSPECTION    ,2016-04-15 00:00:00.000,B00038  
64944,2016-04-15 00:00:00.000,ELEVATOR                        ,2016-04-15 00:00:00.000,B00038  
64945,2016-04-15 00:00:00.000,LOCK                            ,2016-04-15 00:00:00.000,B00038  
64946,2016-04-15 00:00:00.000,ELEC/LIGHT                      ,2016-04-15 00:00:00.000,B00038  
64947,2016-04-15 00:00:00.000,ELEC/LIGHT                      ,2016-04-15 00:00:00.000,B00038  
64948,2016-04-15 00:00:00.000,SNOW_REMOVAL                    ,2016-04-15 00:00:00.000,B00058  
64971,2016-04-17 00:00:00.000,WINDOW                          ,,B06047  
64992,2016-04-18 00:00:00.000,FIRE SUPPRESSION-PROTECTION     ,2016-12-18 00:00:00.000,B00020  
64999,2016-04-18 00:00:00.000,OVERHDDOOR                      ,2016-05-04 00:00:00.000,B04024  
65001,2016-04-18 00:00:00.000,OTHER                           ,,B00182  
65017,2016-04-18 00:00:00.000,ELEC/LIGHT                      ,2016-04-18 00:00:00.000,B00038  
65018,2016-04-18 00:00:00.000,CEILTILE                        ,2016-04-18 00:00:00.000,B00038  
65019,2016-04-18 00:00:00.000,CEILTILE                        ,2016-04-18 00:00:00.000,B00038  
65021,2016-04-18 00:00:00.000,SERV/CUSTODIAL                  ,2016-04-18 00:00:00.000,B00038  
65027,2016-04-18 00:00:00.000,OVERHDDOOR                      ,2016-05-06 00:00:00.000,P01050  
